,businessname,ratingvalue,structural,hygiene,confidenceinmanagement,ratingdate,latitude,longitude
442521,Port Glasgow Community Shared Campus,Pass,,,,2014-02-25,55.920021,-4.653358
442522,Port Glasgow Filling Station,Pass,,,,2013-11-27,55.920667,-4.65257
442523,Port Glasgow Golf Club,Pass,,,,2010-10-21,55.924486,-4.682095
442524,Port Glasgow Health Centre,Improvement Required,,,,2014-04-22,55.934086,-4.687018
442525,Port Glasgow Protestant Athletic Club,Pass,,,,2010-03-23,55.935535,-4.703324
442526,Port Glasgow Rangers Supporters,Pass,,,,2010-03-23,55.932032,-4.681448
442527,Post Office/Pharmacy,Pass,,,,2012-02-27,55.90826,-4.871772
442528,Poundland,Pass,,,,2012-02-28,55.948648,-4.758526
442529,Poundstretcher,Pass,,,,2010-03-23,55.950353,-4.761868
442530,Poundworld,Pass,,,,2012-03-08,55.948648,-4.758526
442531,Pre 3 Centre,Pass,,,,2014-08-28,55.947675,-4.770247
442532,Premier Grieve Road Stores,Improvement Required,,,,2013-12-18,55.949961,-4.794744
442533,Prince Of Wales Bar,Pass,,,,2010-03-17,55.93405,-4.687848
442534,Priyas Palace,Pass,,,,2012-10-01,55.953042,-4.767394
442535,Pullman Tavern,Pass,,,,2012-10-22,55.892807,-4.629793
442536,Quadrant Delivery Service,Pass,,,,2015-01-19,55.936649,-4.739883
442537,Quarriers,Pass,,,,2011-11-02,55.955098,-4.77866
442538,Quincys,Pass,,,,2014-06-26,55.949448,-4.762508
442539,R S McColl,Pass,,,,2010-03-12,55.934277,-4.689769
442540,R S McColl,Pass,,,,2010-09-02,55.947821,-4.7585
442541,R.H.H. Binnie,Pass,,,,2013-03-26,55.946771,-4.768869
442542,R34 Cafe,Pass,,,,2015-01-29,55.893839,-4.628152
442543,RAF Club,Pass,,,,2010-03-23,55.95237,-4.769685
442544,Rainbow Family Centre,Pass,,,,2014-08-27,55.919506,-4.649737
442545,Ramsays,Pass,,,,2014-11-19,55.934977,-4.695599
442546,Ramsays Shop,Improvement Required,,,,2014-11-03,55.961762,-4.818863
442547,Rankin Park Bowling Club,Improvement Required,,,,2010-11-04,55.940087,-4.790189
442548,Ravenscraig Hospital,Pass,,,,2014-04-29,55.938222,-4.799488
442549,Raymond's,Pass,,,,2014-11-20,55.950463,-4.760546
442550,RBS Greenock - Staff Restaurant,Pass,,,,2013-10-29,55.944979,-4.738852
442551,Red,Pass,,,,2010-03-12,55.947068,-4.754009
442552,Red Turban,Improvement Required,,,,2015-01-20,55.943056,-4.819297
442553,Regent Club,Pass,,,,2010-01-28,55.949857,-4.75991
442554,Reliance Custodial Services (Scotland),Pass,,,,2009-12-22,55.949971,-4.765669
442555,Rileys Sports Bar,Pass,,,,2014-11-10,55.954629,-4.767988
442556,Rivendell,Pass,,,,2011-10-25,55.867272,-4.616669
442557,Riverside Cafe,Pass,,,,2015-01-15,55.936649,-4.739883
442558,Riverview,Pass,,,,2014-01-07,55.867272,-4.616669
442559,Robert Alexander,Improvement Required,,,,2014-08-25,55.934277,-4.689769
442560,Robert Alexander,Pass,,,,2014-11-25,55.961449,-4.820395
442561,Robert Young Family Butcher,Improvement Required,,,,2015-01-20,55.949276,-4.762576
442562,Rostom,Pass,,,,2010-03-23,55.905132,-4.856707
442563,Rowan Gardens,Pass,,,,2014-06-11,55.938709,-4.725309
442564,Roxburgh Convenience Store,Improvement Required,,,,2012-11-22,55.945301,-4.759458
442565,Royal Gourock Yacht Club,Pass,,,,2014-09-10,55.954541,-4.836219
442566,Royalle Club,Pass,,,,2010-06-02,55.95936,-4.81699
442567,RWSA Boat Club,Pass,,,,2010-03-17,55.962454,-4.789267
442568,S & D Superstore,Pass,,,,2011-04-21,55.945035,-4.797945
442569,Saba Fast Food,Pass,,,,2014-03-11,55.94782,-4.768559
442570,Saffron,Pass,,,,2013-06-04,55.894254,-4.62642
442571,Sainsburys,Pass,,,,2014-07-24,55.907809,-4.871819
442572,Sainsburys,Pass,,,,2013-09-26,55.962056,-4.818981
442573,Salvation Army,Pass,,,,2013-10-31,55.934191,-4.689187
442574,Sam Superstore,Improvement Required,,,,2014-08-27,55.923231,-4.658716
442575,Sam Superstore,Pass,,,,2014-09-16,55.925694,-4.679425
442576,Sarah's Store,Pass,,,,2014-08-27,55.939131,-4.727373
442577,Saucy Sue,Pass,,,,2014-02-14,55.934183,-4.690371
442578,Scotmid,Pass,,,,2015-01-16,55.942762,-4.772859
442579,Scottish Co-op,Pass,,,,2014-07-02,55.92512,-4.665313
442580,Scottish Co-op,Improvement Required,,,,2014-08-07,55.955882,-4.806323
442581,Scottish Co-op,Pass,,,,2014-09-22,55.959907,-4.816661
442582,Seaview Cafe,Pass,,,,2014-01-27,55.876068,-4.888389
442583,Semichem,Pass,,,,2011-10-27,55.949448,-4.762508
442584,Semichem,Pass,,,,2011-03-15,55.947821,-4.7585
442585,Semichem,Pass,,,,2010-03-04,55.934277,-4.689769
442586,Shammy Shuffles,Awaiting Inspection,,,,2014-12-11,55.947163,-4.755377
442587,Sharons Ices,Pass,,,,2010-03-12,55.949277,-4.759308
442588,Sheriff Court Cafe,Pass,,,,2015-01-06,55.949971,-4.765669
442589,Shopsmart,Pass,,,,2014-10-01,55.944191,-4.801472
442590,Simply The Best,Improvement Required,,,,2012-11-14,55.952148,-4.763998
442591,Sir Gabriel Wood's Mariners' Home,Pass,,,,2014-05-07,55.959655,-4.788617
442592,Sizzlers Fast Foods,Pass,,,,2014-05-06,55.943045,-4.785389
442593,SJ's,Improvement Required,,,,2014-08-20,55.927635,-4.673267
442594,Small Group Daycare,Pass,,,,2014-08-11,55.950909,-4.831179
442595,Social Work Small Group Day Care - Lunch Club,Improvement Required,,,,2014-11-25,55.909592,-4.864381
442596,Spar,Pass,,,,2014-10-07,55.94854,-4.772936
442597,Spar,Pass,,,,2009-09-21,55.891495,-4.888305
442598,Spar,Pass,,,,2014-10-07,55.934183,-4.690371
442599,Spiced Village,Pass,,,,2014-07-03,55.934183,-4.690371
